text,is_abusive,is_restricted,category
Durable coffee table for home and office,0,0,furniture
Nova laptop with 8GB RAM,0,0,laptop
football for fitness and training,0,0,sports
Durable fitness gloves for outdoor activities,0,0,sports
Prohibited narcotic product listed for purchase at a discounted price,0,1,restricted_drug
Professional quality fitness gloves for sports use,0,0,sports
Vertex laptop with 8GB RAM,0,0,laptop
Popular language learning book covering useful topics,0,0,books
Women's hoodie with comfortable cotton fabric,0,0,clothing
Popular fiction novel covering useful topics,0,0,books
Controlled medical product advertised for direct sale with home delivery,0,1,restricted_medicine
Durable study desk for home and office,0,0,furniture
Durable cycling helmet for outdoor activities,0,0,sports
cricket bat for fitness and training,0,0,sports
Premium wall clock with practical design,0,0,home
Seller uses insulting language toward customers,1,0,abusive
Popular Python programming book covering useful topics,0,0,books
Description contains threatening and abusive wording,1,0,abusive
Seller description: alcohol beverage offered for sale,0,1,restricted_alcohol
fitness gloves for fitness and training,0,0,sports
curtain set for everyday household use,0,0,home
High performance laptop with dual cameras,0,0,laptop
Premium curtain set with practical design,0,0,home
Seller uses insulting language toward customers,1,0,abusive
Restricted tobacco product offered for sale with home delivery,0,1,restricted_tobacco
Premium kitchen organizer with practical design,0,0,home
Seller uses insulting language toward customers,1,0,abusive
Seller description: restricted weapon product offered for sale,0,1,restricted_weapon
Stylish office chair with a leather-style finish,0,0,furniture
Portable computer mouse designed for everyday use,0,0,electronics
Professional quality fitness gloves for sports use,0,0,sports
Professional quality cycling helmet for sports use,0,0,sports
Educational mathematics workbook in paperback format,0,0,books
Durable wardrobe for home and office,0,0,furniture
Premium Vertex smartphone with 8GB RAM,0,0,mobile
Professional quality resistance bands for sports use,0,0,sports
Portable keyboard designed for everyday use,0,0,electronics
Nova smartphone with fast charging and long battery life,0,0,mobile
Popular language learning book covering useful topics,0,0,books
This product listing contains a personal attack,1,0,abusive
Description contains threatening and abusive wording,1,0,abusive
Educational mathematics workbook in paperback format,0,0,books
Durable wall clock for modern homes,0,0,home
Seller description: illegal drug product advertised for sale,0,1,restricted_drug
cycling helmet for fitness and training,0,0,sports
Women's cotton shirt with comfortable leather-style fabric,0,0,clothing
Premium storage box with practical design,0,0,home
webcam with dual cameras,0,0,electronics
Premium PixelPro smartphone with dual cameras,0,0,mobile
cricket bat for fitness and training,0,0,sports
Durable kitchen organizer for modern homes,0,0,home
desk lamp for everyday household use,0,0,home
football for fitness and training,0,0,sports
smartwatch with 8GB RAM,0,0,electronics
Durable storage box for modern homes,0,0,home
Durable cycling helmet for outdoor activities,0,0,sports
Online listing: prohibited explosive product advertised online,0,1,restricted_explosive
Prohibited explosive product advertised online,0,1,restricted_explosive
Python programming book for students and professionals,0,0,books
Men's sweater in leather-style,0,0,clothing
cycling helmet for fitness and training,0,0,sports
Description includes inappropriate and insulting wording,1,0,abusive
Portable keyboard designed for everyday use,0,0,electronics
Women's casual jacket with comfortable cotton fabric,0,0,clothing
Durable bookshelf for home and office,0,0,furniture
storage box for everyday household use,0,0,home
Durable fitness gloves for outdoor activities,0,0,sports
Online listing: alcohol beverage offered for sale,0,1,restricted_alcohol
Business laptop featuring high resolution display,0,0,laptop
Durable yoga mat for outdoor activities,0,0,sports
Women's polo shirt with comfortable wood fabric,0,0,clothing
Seller message contains harassment toward the buyer,1,0,abusive
Women's summer dress with comfortable cotton fabric,0,0,clothing
Nova laptop with 8GB RAM,0,0,laptop
data science guide for students and professionals,0,0,books
Online listing: other regulated product requiring authorization,0,1,restricted_other
Description includes inappropriate and insulting wording,1,0,abusive
Educational Python programming book in paperback format,0,0,books
Men's casual jacket in bamboo,0,0,clothing
Premium Orbit smartphone with lightweight design,0,0,mobile
This product listing contains a personal attack,1,0,abusive
Description contains threatening and abusive wording,1,0,abusive
Vertex laptop with long battery life,0,0,laptop
Durable storage box for modern homes,0,0,home
Zen smartphone with 8GB RAM and long battery life,0,0,mobile
Popular Python programming book covering useful topics,0,0,books
